"","date","total_entries","Male","Female","ages0_14","ages15_64","ages65_up","nationals_registered","Mainland","HK_Macao","nationals_unregistered","Foreigners"
"4","<U+516B><U+5341><U+4E00><U+5E74> 1992","6110016","3674608","2435408","324639","5349594","435783","4223951","12953","223386",NA,"1649726"
"5","<U+516B><U+5341><U+4E8C><U+5E74> 1993","6499997","3942898","2557099","351655","5707888","451162","4633444","18531","246794",NA,"1601228"
"6","<U+516B><U+5341><U+4E09><U+5E74> 1994","6878197","4210707","2667490","367705","6052439","458053","4727528","23884","270100",NA,"1856685"
"7","<U+516B><U+5341><U+56DB><U+5E74> 1995","7525556","4620511","2905045","410354","6617332","497870","5143789","42890","272544",NA,"2066333"
"8","<U+516B><U+5341><U+4E94><U+5E74>1996","8107670","4922498","3185172","447263","7112673","547734","5700514","58084","260533",NA,"2088539"
"9","<U+516B><U+5341><U+516D><U+5E74> 1997","8590511","5216375","3374136","485535","7518173","586803","6160016","75992","238862",NA,"2115641"
"10","<U+516B><U+5341><U+4E03><U+5E74> 1998","8286491","5091178","3195313","449969","7315809","520713","5909576","94061","251043",NA,"2031811"
"11","<U+516B><U+5341><U+516B><U+5E74>1999","9070567","5480579","3589988","498814","7984692","587061","6561807","110513","282594",NA,"2115653"
"12","<U+516B><U+5341><U+4E5D><U+5E74> 2000","10045994","6035503","4010491","531581","8870537","643876","7296673","119676","318975",NA,"2310670"
"13","<U+4E00> <U+6708>  Jan.","630434","398405","232029","24275","573346","32813","439532","11112","17807",NA,"161983"
"14","<U+4E8C> <U+6708>  Feb.","808833","462407","346426","77626","694405","36802","611318","8862","25396",NA,"163257"
"15","<U+4E09> <U+6708>  Mar.","737738","460940","276798","20877","666010","50851","504429","10727","23089",NA,"199493"
"16","<U+56DB> <U+6708>  Apr.","874986","521022","353964","42297","767262","65427","648546","9623","28594",NA,"188223"
"17","<U+4E94> <U+6708>  May","844946","514634","330312","22490","751651","70805","618693","9743","22816",NA,"193694"
"18","<U+516D> <U+6708>  June","880767","532363","348404","31703","789507","59557","644665","10126","29843",NA,"196133"
"19","<U+4E03> <U+6708>  July","990742","563025","427717","110306","830662","49774","761917","10077","26399",NA,"192349"
"20","<U+516B> <U+6708>  Aug.","965694","543646","422048","111416","812100","42178","734244","9848","29106",NA,"192496"
"21","<U+4E5D> <U+6708>  Sept.","855593","513054","342539","21962","772978","60653","622325","10336","30399",NA,"192533"
"22","<U+5341> <U+6708>  Oct.","876637","540991","335646","18321","785739","72577","616832","8870","30415",NA,"220520"
"23","<U+5341><U+4E00><U+6708>  Nov.","791725","499863","291862","17617","715455","58653","547503","9908","24539",NA,"209775"
"24","<U+5341><U+4E8C><U+6708>  Dec.","787899","485153","302746","32691","711422","43786","546669","10444","30572",NA,"200214"
"25","<U+4E5D> <U+5341><U+5E74> 2001","9893261","5947770","3945491","509816","8764045","619400","7092968","141687","366735",NA,"2291871"
"26","<U+4E00> <U+6708>  Jan.","794449","471774","322675","58445","699644","36360","582415","10377","24169",NA,"177488"
"27","<U+4E8C> <U+6708>  Feb.","753031","455099","297932","46575","665171","41285","506611","10432","24334",NA,"211654"
"28","<U+4E09> <U+6708>  Mar.","814128","508403","305725","22183","735667","56278","548079","13196","32903",NA,"219950"
"29","<U+56DB> <U+6708>  Apr.","895741","533342","362399","41254","785694","68793","647810","11053","34323",NA,"202555"
"30","<U+4E94> <U+6708>  May","865045","524828","340217","23162","772740","69143","624430","12052","25644",NA,"202919"
"31","<U+516D> <U+6708>  June","913251","545553","367698","33548","818296","61407","659714","12017","35692",NA,"205828"
"32","<U+4E03> <U+6708>  July","940691","539469","401222","95980","796875","47836","708176","12102","28342",NA,"192071"
"33","<U+516B> <U+6708>  Aug.","968372","546003","422369","102406","821127","44839","729779","12830","33652",NA,"192111"
"34","<U+4E5D> <U+6708>  Sept.","734575","452398","282177","17371","670830","46374","523824","11346","32539",NA,"166866"
"35","<U+5341> <U+6708>  Oct.","738510","455590","282920","19218","662754","56538","530636","11682","28073",NA,"168119"
"36","<U+5341><U+4E00><U+6708>  Nov.","717684","455026","262658","17600","649027","51057","506988","12497","30052",NA,"168147"
"37","<U+5341><U+4E8C><U+6708>  Dec.","757784","460285","297499","32074","686220","39490","524506","12103","37012",NA,"184163"
"38","<U+4E5D><U+5341><U+4E00><U+5E74>2002","10187925","6022475","4165450","523073","9012827","652025","7210233","165236","379864","78575","2354017"
"39","<U+4E00> <U+6708>  Jan.","700687","420929","279758","36374","625572","38741","483087","11878","22011","6118","177593"
"40","<U+4E8C> <U+6708>  Feb.","856848","482691","374157","79480","739941","37427","622952","11880","34858","7619","179539"
"41","<U+4E09> <U+6708>  Mar.","833379","503663","329716","25280","747622","60477","551857","14752","40000","7230","219540"
"42","<U+56DB> <U+6708>  Apr.","881754","525813","355941","27072","778987","75695","635995","14508","27008","6197","198046"
"43","<U+4E94> <U+6708>  May","866016","512652","353364","25164","770394","70458","622075","13363","30834","6892","192852"
"44","<U+516D> <U+6708>  June","825014","495001","330013","31811","741265","51938","583636","14769","26350","6444","193815"
"45","<U+4E03> <U+6708>  July","952947","539585","413362","97979","808172","46796","718351","14429","28984","7421","183762"
"46","<U+516B> <U+6708>  Aug.","984782","550024","434758","107555","834728","42499","738703","13676","37155","6101","189147"
"47","<U+4E5D> <U+6708>  Sept.","820450","492860","327590","19709","748135","52606","586837","14004","27439","2598","189572"
"48","<U+5341> <U+6708>  Oct.","867554","522249","345305","18903","776216","72435","609194","12709","32612","5352","207687"
"49","<U+5341><U+4E00><U+6708>  Nov.","789882","489715","300167","19136","712308","58438","534237","14090","32209","6747","202599"
"50","<U+5341><U+4E8C><U+6708>  Dec.","808612","487293","321319","34610","729487","44515","523309","15178","40404","9856","219865"
"51","<U+4E5D><U+5341><U+4E8C><U+5E74>2003","8138248","4863219","3275029","433293","7243553","461402","5890131","149176","267102","19805","1812034"
"52","<U+4E00> <U+6708>  Jan.","800782","490508","310274","46473","716621","37688","562751","14485","24392","2155","196999"
"53","<U+4E8C> <U+6708>  Feb.","783759","439491","344268","59495","684747","39517","523793","13200","38559","2152","206055"
"54","<U+4E09> <U+6708>  Mar.","779413","477963","301450","21448","707245","50720","521285","17047","29957","1932","209192"
"55","<U+56DB> <U+6708>  Apr.","367853","235340","132513","11505","335692","20656","257213","10694","12180","1243","86523"
"56","<U+4E94> <U+6708>  May","142638","87725","54913","3448","133792","5398","102382","3833","650","603","35170"
"57","<U+516D> <U+6708>  June","264960","159026","105934","11582","241664","11714","207829","5474","1911","923","48823"
"58","<U+4E03> <U+6708>  July","769515","442094","327421","78729","656981","33805","615341","10570","20189","1832","121583"
"59","<U+516B> <U+6708>  Aug.","929212","527343","401869","99570","788537","41105","728598","11022","29680","2105","157807"
"60","<U+4E5D> <U+6708>  Sept.","833034","506915","326119","21738","755944","55352","614440","14504","25781","1869","176440"
"61","<U+5341> <U+6708>  Oct.","863049","518704","344345","24669","772577","65803","639497","15063","25676","1615","181198"
"62","<U+5341><U+4E00><U+6708>  Nov.","811401","500854","310547","21934","731251","58216","570052","17002","25329","1537","197481"
"63","<U+5341><U+4E8C><U+6708>  Dec.","792632","477256","315376","32702","718502","41428","546950","16282","32798","1839","194763"
"64","<U+4E5D><U+5341><U+4E09><U+5E74>2004","10699122","6300580","4398542","588809","9462516","647797","7748780","153190","346209","22646","2428297"
"65","<U+4E00> <U+6708>  Jan.","860503","502810","357693","73807","752939","33757","647649","13560","26993","2091","170210"
"66","<U+4E8C> <U+6708>  Feb.","708913","423138","285775","39998","635904","33011","487893","15315","24278","2199","179228"
"67","<U+4E09> <U+6708>  Mar.","809912","494658","315254","23970","733796","52146","570337","12715","25918","1856","199086"
"68","<U+56DB> <U+6708>  Apr.","842204","508326","333878","29547","750997","61660","613143","11766","30016","1594","185685"
"69","<U+4E94> <U+6708>  May","824616","496835","327781","26359","740689","57568","592323","10779","25607","1644","194263"
"70","<U+516D> <U+6708>  June","937643","547951","389692","41765","835689","60189","678782","11558","35447","1951","209905"
"71","<U+4E03> <U+6708>  July","1055746","590500","465246","121650","879719","54377","812350","12475","30755","2264","197902"
"72","<U+516B> <U+6708>  Aug.","1072340","590988","481352","124743","899060","48537","818796","12907","35735","2044","202858"
"73","<U+4E5D> <U+6708>  Sept.","899128","534086","365042","22875","819603","56650","653213","11837","28713","1811","203554"
"74","<U+5341> <U+6708>  Oct.","929300","549963","379337","21908","831187","76205","662710","13130","29678","1703","222079"
"75","<U+5341><U+4E00><U+6708>  Nov.","872786","531347","341439","23281","784635","64870","602233","13816","23027","1492","232218"
"76","<U+5341><U+4E8C><U+6708>  Dec.","886031","529978","356053","38906","798298","48827","609351","13332","30042","1997","231309"
"77","<U+4E5D><U+5341><U+56DB><U+5E74>2005","11557175","6758467","4798708","628861","10206711","721603","8179057","200142","355443","24323","2798210"
"78","<U+4E00> <U+6708>  Jan.","791824","475957","315867","45517","703670","42637","547572","11576","18000","2126","212550"
"79","<U+4E8C> <U+6708>  Feb.","930991","531379","399612","82391","808761","39839","673651","12735","34158","2890","207557"
"80","<U+4E09> <U+6708>  Mar.","892384","539624","352760","30352","804086","57946","594102","14633","34328","2685","246636"
"81","<U+56DB> <U+6708>  Apr.","968000","576893","391107","32068","855786","80146","698487","14353","24881","1804","228475"
"82","<U+4E94> <U+6708>  May","966166","571633","394533","30623","858847","76696","682117","14594","31110","1620","236725"
"83","<U+516D> <U+6708>  June","995750","582391","413359","41600","884785","69365","702706","15296","31625","1853","244270"
"84","<U+4E03> <U+6708>  July","1133434","629985","503449","127429","949872","56133","865165","17280","31714","2235","217040"
"85","<U+516B> <U+6708>  Aug.","1109110","614820","494290","122243","938652","48215","827417","17134","35990","2061","226508"
"86","<U+4E5D> <U+6708>  Sept.","955678","561054","394624","23534","868787","63357","684978","18245","27177","2021","223257"
"87","<U+5341> <U+6708>  Oct.","1020257","597074","423183","27580","914515","78162","722803","18405","25122","1638","252289"
"88","<U+5341><U+4E00><U+6708>  Nov.","895288","541577","353711","25027","805511","64750","593011","22580","25946","1565","252186"
"89","<U+5341><U+4E8C><U+6708>  Dec.","898293","536080","362213","40497","813439","44357","587048","23311","35392","1825","250717"
"90","<U+4E5D><U+5341><U+4E94><U+5E74>2006","12148694","7014024","5134670","668002","10675857","804835","8628867","286608","354335","23255","2855629"
